O que é ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente?	Prof. Dr. Geraldo A. R. Ramos 1Geraldo Ramos, BSc, MSc, PhD
Resuma: Tipos de Aulas |Tipos de Aulas  Aulas Teóricas (Conferências): apresentação de conceitos e fundamentos.	Tipos de Aulas |Tipos de Aulas  Aulas Teóricas (Conferências): apresentação de conceitos e fundamentos.  Aulas Teórico-Práticas (Seminários): integração imediata entre teoria e exercícios.  Aulas Práticas: resolução de problemas e aplicação de modelos.  Laboratório Computacional: simulações com softwares de reservatórios.  Estudos de Caso: análise de cenários reais da indústria.  Trabalho Independente: leituras dirigidas e exercícios individuais.  Orientação Tutorial: apoio personalizado para dúvidas e trabalhos.  Visitas Técnicas (quando possível): contato direto com a prática industrial. 10 Geraldo Ramos, BSc, MSc, PhD
O que é exercícios curtos) e a aula presencial?	dedicada à resolução de problemas, simulações e discussões
Resuma: Estratégias Metodológicas |Metodologias activas  Sala de Aula Invertida (Flipped Classroom): o aluno estuda previamente materiais indicados (textos, vídeos, exercícios curtos) e a aula presencial é dedicada à resolução de problemas, simulações e discussões.	Estratégias Metodológicas |Metodologias activas  Sala de Aula Invertida (Flipped Classroom): o aluno estuda previamente materiais indicados (textos, vídeos, exercícios curtos) e a aula presencial é dedicada à resolução de problemas, simulações e discussões.  Aprendizagem Baseada em Problemas (PBL): os estudantes recebem problemas reais ou simulados da engenharia de reservatórios e trabalham em grupos para investigar, propor hipóteses e encontrar soluções.  Estudos de Caso: análise de situações reais da indústria de petróleo e gás, estimulando o raciocínio crítico e a tomada de decisão.  Aprendizagem Colaborativa: realização de trabalhos em grupo, debates e seminários, promovendo troca de conhecimentos e desenvolvimento de competências interpessoais.  Laboratório Computacional: simulação de deslocamento imiscível, injeção de água e EOR em softwares especializados, com análise comparativa de cenários.  Estratégia Interrogativa: utiliza perguntas para estimular o raciocínio, reflexão e participação dos alunos.  Aprendizagem Baseada em Projectos: Envolve a criação de um produto, estudo ou proposta para resolver uma situação prática, integrando várias disciplinas.  Debates Orientados: discussões estruturadas que promovem argumentação, análise crítica e comunicação científica. 11 Geraldo Ramos, BSc, MSc, PhD
Resuma: Estratégias Metodológicas |Estratégias de Engajamento e Fixação  Exposição Dialogada: aulas teóricas curtas com espaço para perguntas e interação, evitando passividade.	Estratégias Metodológicas |Estratégias de Engajamento e Fixação  Exposição Dialogada: aulas teóricas curtas com espaço para perguntas e interação, evitando passividade.  Exercícios de Fixação: listas de problemas resolvidos em sala e para casa, aplicando conceitos matemáticos e físicos.  Quiz ou Avaliações Formativas: pequenos testes ao longo do curso para monitorar compreensão e corrigir falhas de aprendizagem.  Resumos e Mapas Conceituais: elaboração de sínteses pelos alunos para consolidar conteúdos-chave.  Feedback Contínuo: retorno individual e coletivo sobre o desempenho em atividades, incentivando melhorias.  Orientação Tutorial: encontros em pequenos grupos para tirar dúvidas específicas e reforçar conteúdos mais complexos.  Trabalho Independente: leituras orientadas, resolução de exercícios extras e elaboração de relatórios para fortalecer a autonomia. 12 Geraldo Ramos, BSc, MSc, PhD
Resuma: Estratégias Metodológicas ASPECTO METODOLOGIAS ACTIVAS ENGAJAMENTO E FIXAÇÃO Foco Processo de aprendizagem Motivação e consolidação do conteúdo aprendido Objectivo Tornar o estudante protagonista do próprio aprendizado, desenvolvendo autonomia, pensamento crítico e resolução de problemas.	Estratégias Metodológicas ASPECTO METODOLOGIAS ACTIVAS ENGAJAMENTO E FIXAÇÃO Foco Processo de aprendizagem Motivação e consolidação do conteúdo aprendido Objectivo Tornar o estudante protagonista do próprio aprendizado, desenvolvendo autonomia, pensamento crítico e resolução de problemas. Manter o interesse dos estudantes e reforçar a retenção do conhecimento. Funcionamento Estudante participa activamente. Discutindo, pesquisando, criando e aplicando conhecimentos. Por meio de actividades dinâmicas, interactivas e de revisão, que ajudam o estudante a recordar e aplicar o que aprendeu. Propósito Ensinar de forma participativa Manter o interesse e consolidar o aprendizado Momento de uso Durante o processo de ensino Após ou entre etapas de aprendizagem Papel do estudante Protagonista na construção do conhecimento Participação activa na revisão e prática Exemplo prático Resolver um estudo de caso, projectos, sala de aula invertida, etc. Fazer quiz para revisar o estudo de caso, resumos colaborativos, ect 13 Geraldo Ramos, BSc, MSc, PhD
Resuma: Resultados Esperados  Adquirir conhecimentos sobre os mecanismos básicos de produção de petróleo e gás;  Cálculo volumétrico de hidrocarbonetos e do contacto água-óleo, óleo-gás e água-gás  Derivação da equação generalizada de balanço de materiais incluindo óleo, gás e água e como será simplificada para diferentes tipos de reservatórios;  Compreender a importância do influxo de água no balanço de materiais e como fazer os cálculos usando os diferentes incluindo o de Fetkovich;  Derivação de equações materiais para os diferentes regimes de fluxo, geometrias e fases;  Conhencimentos da equação de difusividade e a sua importância na indústria de petróleo e gás natural;  Conhecimentos sobre a equação do declínio de produção e a taxa do declínio de produção.	Resultados Esperados  Adquirir conhecimentos sobre os mecanismos básicos de produção de petróleo e gás;  Cálculo volumétrico de hidrocarbonetos e do contacto água-óleo, óleo-gás e água-gás  Derivação da equação generalizada de balanço de materiais incluindo óleo, gás e água e como será simplificada para diferentes tipos de reservatórios;  Compreender a importância do influxo de água no balanço de materiais e como fazer os cálculos usando os diferentes incluindo o de Fetkovich;  Derivação de equações materiais para os diferentes regimes de fluxo, geometrias e fases;  Conhencimentos da equação de difusividade e a sua importância na indústria de petróleo e gás natural;  Conhecimentos sobre a equação do declínio de produção e a taxa do declínio de produção. 14 Geraldo Ramos, BSc, MSc, PhD
Resuma: Contributo para os Resultados de Aprendizagem dos Estudante  Habilidades de aplicar conhecimentos de matemática, ciências e engenharia;  Habilidades de projectar e conduzir experimetos, bem como analisar e intrepretar dados;  Capacidade de identificar, formular e resolver problemas de engenharia  Capacidade de usar as técnicas, habilidades e ferramentas de engenharia modernas necessárias para prática de engenharia  Conhecimentos básicos dos princípios de projectos em cada área de engenharia de petróleo (perfuração, produção e reservatórios) e estar ciente de sua independência; 15 Geraldo Ramos, BSc, MSc, PhD	Contributo para os Resultados de Aprendizagem dos Estudante  Habilidades de aplicar conhecimentos de matemática, ciências e engenharia;  Habilidades de projectar e conduzir experimetos, bem como analisar e intrepretar dados;  Capacidade de identificar, formular e resolver problemas de engenharia  Capacidade de usar as técnicas, habilidades e ferramentas de engenharia modernas necessárias para prática de engenharia  Conhecimentos básicos dos princípios de projectos em cada área de engenharia de petróleo (perfuração, produção e reservatórios) e estar ciente de sua independência; 15 Geraldo Ramos, BSc, MSc, PhD
Resuma: Contribuição para a Componente Profissional da Unidade Curricular Componente profissional da unidade curricular:  Conhecimentos técnicos sobre reservatórios de hidrocarbonetos.	Contribuição para a Componente Profissional da Unidade Curricular Componente profissional da unidade curricular:  Conhecimentos técnicos sobre reservatórios de hidrocarbonetos.  Competências em análise de rochas, fluidos e dados de produção.  Aplicação de métodos de engenharia de reservatórios.  Previsão do desempenho e estimativa de reservas.  Integração multidisciplinar e avaliação económica de campos petrolíferos. 16 Geraldo Ramos, BSc, MSc, PhD
Resuma: Unidades Didácticas  Capítulo 1 – Introdução à Engenharia de Reservatórios  Capítulo 2 – Propriedades dos fluidos;  Capítulo 3 – Propriedade das rochas;  Capítulo 4 – Integração de dados e Cálculo Volumétrico  Capítulo 5 – Equação de balanço de materiais;  Capítulo 6 - Fluxo de Fluidos em Meios Porosos;  Capítulo 7- Análise de Teste de Pressão Transiente em poços  Capítulo 8 – Influxo Natural de água;  Capítulo 9 - Análise de curvas de declínio e ajuste do histórico  Capítulo 10 – Avaliação Económica de um Campo petrolífero 17 Geraldo Ramos, BSc, MSc, PhD	Unidades Didácticas  Capítulo 1 – Introdução à Engenharia de Reservatórios  Capítulo 2 – Propriedades dos fluidos;  Capítulo 3 – Propriedade das rochas;  Capítulo 4 – Integração de dados e Cálculo Volumétrico  Capítulo 5 – Equação de balanço de materiais;  Capítulo 6 - Fluxo de Fluidos em Meios Porosos;  Capítulo 7- Análise de Teste de Pressão Transiente em poços  Capítulo 8 – Influxo Natural de água;  Capítulo 9 - Análise de curvas de declínio e ajuste do histórico  Capítulo 10 – Avaliação Económica de um Campo petrolífero 17 Geraldo Ramos, BSc, MSc, PhD
Resuma: Tipo de Avaliação  Avaliação Diagonóstica  Identificar conhecimentos prévios e nivelar a turma.	Tipo de Avaliação  Avaliação Diagonóstica  Identificar conhecimentos prévios e nivelar a turma.  Quiz inicial; exercício rápido de revisão.  Avaliação Formativa  Acompanhar a aprendizagem, dar feedback e corrigir dificuldades.  Exercícios práticos e resolução de problemas em sala de aula, trabalhos e projectos em grupo, com feedback contínuo, participação nas aulas, autoavaliação e coavaliação entre estudantes.  Avaliação Somativa:  Medir resultados finais e consolidar competências.  Provas teóricas e práticas; projecto de estudo de caso; seminário final. |Tipo de Avaliação Avaliação Somativa:  duas avaliações parcelares (30%):  exame de época normal (60 %)  exame de Recurso Outras Avaliações  Avaliação Diagonóstica (0%)  Avaliação Formativa (10%) OBS: Avaliação parcelar a ser lançada no Unimestre será avaliações diagonóstica + Formativa + somativa= 40% 18 Geraldo Ramos, BSc, MSc, PhD
Resuma: Tipo de Avaliação  Avaliação Diagonóstica  Identificar conhecimentos prévios e nivelar a turma.	Tipo de Avaliação  Avaliação Diagonóstica  Identificar conhecimentos prévios e nivelar a turma.  Quiz inicial; exercício rápido de revisão.  Avaliação Formativa  Acompanhar a aprendizagem, dar feedback e corrigir dificuldades.  Exercícios práticos e resolução de problemas em sala de aula, trabalhos e projectos em grupo, com feedback contínuo, participação nas aulas, autoavaliação e coavaliação entre estudantes.  Avaliação Somativa:  Medir resultados finais e consolidar competências.  Provas teóricas e práticas; projecto de estudo de caso; seminário final. |Tipo de Avaliação Avaliação Somativa:  duas avaliações parcelares (30%):  exame de época normal (60 %)  exame de Recurso Outras Avaliações  Avaliação Diagonóstica (0%)  Avaliação Formativa (10%) OBS: Avaliação parcelar a ser lançada no Unimestre será avaliações diagonóstica + Formativa + somativa= 40% 19 Geraldo Ramos, BSc, MSc, PhD
O que é org/download/?	melhor instalá-los nessa ordem
Resuma: PROJECTOS Estimamos um à dois projectos; Tendo em conta os objectivos desta cadeira, o estudante que não demonstrar a vontade, habilidades e capacidade técnica terá como prémio a repetição da cadeira para o próximo ano lectivo; Os projectos serão entregues na plataforma Latex Geraldo Ramos, BSc, MSc, PhD Para instalar o latex, você precisará baixar esses programas Miktex: http://miktex.org/download GSView: http://pages.cs.wisc.edu/~ghost/gsview/get50.htm Texniccenter(Latex): http://www.texniccenter.org/download/ É melhor instalá-los nessa ordem.	PROJECTOS Estimamos um à dois projectos; Tendo em conta os objectivos desta cadeira, o estudante que não demonstrar a vontade, habilidades e capacidade técnica terá como prémio a repetição da cadeira para o próximo ano lectivo; Os projectos serão entregues na plataforma Latex Geraldo Ramos, BSc, MSc, PhD Para instalar o latex, você precisará baixar esses programas Miktex: http://miktex.org/download GSView: http://pages.cs.wisc.edu/~ghost/gsview/get50.htm Texniccenter(Latex): http://www.texniccenter.org/download/ É melhor instalá-los nessa ordem. Depois instalar o JABREF para bibliografia 20
O que é Informação 2 CORÍNTIOS 9?	6 “… o que semeia pouco, pouco, também, ceifará, e, o que semeia em abundância, em abundância ceifará.” SUCESSOS A TODOS NA UNIDADE CURRICULAR DE ENGENHARIA DE RESERVATÓRIOSI 21 Geraldo Ramos, BSc, MSc, PhD
Resuma: Informação 2 CORÍNTIOS 9:6 “… o que semeia pouco, pouco, também, ceifará, e, o que semeia em abundância, em abundância ceifará.” SUCESSOS A TODOS NA UNIDADE CURRICULAR DE ENGENHARIA DE RESERVATÓRIOSI 21 Geraldo Ramos, BSc, MSc, PhD	Informação 2 CORÍNTIOS 9:6 “… o que semeia pouco, pouco, também, ceifará, e, o que semeia em abundância, em abundância ceifará.” SUCESSOS A TODOS NA UNIDADE CURRICULAR DE ENGENHARIA DE RESERVATÓRIOSI 21 Geraldo Ramos, BSc, MSc, PhD
O que é Tarefa Enquadramento Porter (1999) acentua que?	relevante a integração de estratégia e ambiente
Resuma: Tarefa Enquadramento Porter (1999) acentua que é relevante a integração de estratégia e ambiente.	Tarefa Enquadramento Porter (1999) acentua que é relevante a integração de estratégia e ambiente. O SWOT/FOFA/DAFO – Strengths, Weaknesses, Opportunities, and Threats, que em português significa: Forças, Fraquezas, oportunidades e Ameaças, leva em conta essa integração interna e externa, sabendo-se que oportunidades são para a organização e as ameaças vêm dos concorrentes.  As forças são os factores positivos internos da Instituição. Aquilo que ela possui de vantagem competitiva em relação a outras Instituições. Junto com as fraquezas, que são factores negativos, formam o ambiente interno da Instituição. O cruzamento entre eles, define se a situação interna é favorável ou não.  As oportunidades são factores positivos que o mercado pode vir a proporcionar, enquanto as ameaças são os riscos negativos do mercado. Juntas, elas formam o ambiente externo da Instituição. O cruzamento entre esses factores mostram se o ambiente externo está favorável ou não. Exercícicio 1. Faça uma análise SWOT da unidade curricular de Engenharia de Reservatórios 2 (Forças, fraquezas, oportunidades e ameaças). NOTA: (a) Elaborar um Quadro comparativo, (b) Um resumo sintético da alínea (a). 2. Fundamentar as respostas correctas da avaliação diagonóstica. Fonte: 29ª Edição – CF – Saber - 2025 22 Geraldo Ramos, BSc, MSc, PhD
Resuma: MUITO OBRIGADA!	MUITO OBRIGADA! 23 Geraldo Ramos, BSc, MSc, PhD
O que é ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente?	Prof. Dr. Geraldo A. R. Ramos 1Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD
Resuma: ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente: Prof.	ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente: Prof. Dr. Geraldo A. R. Ramos 1Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD
Resuma: Capítulo 4 - Integração de dados e Cálculo Volumétrico de Hidrocarbonetos  4.1.	Capítulo 4 - Integração de dados e Cálculo Volumétrico de Hidrocarbonetos  4.1. Objectivo Geral e Objectivos Específicos  4.2. Prefixos  4.3. Introdução  4.4. Definições;  4.5. Métodos de Cálculo de volumes originais de hidrocarbonetos;  4.6. Método volumétrico;  4.7. Integração de dados e incertezas.;  4.8. Consolidação da Aula  4.9. Tarefas 2 Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD
Resuma: Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD  Estimativa de hidrocarbonetos originalmente existentes no reservatório  Cálculo do Volume de Rocha  Prefixos  Volume Recuperável/Reservas  Sistemas em Camadas  Cálculo de Net to Gross  Cut-offs 4.6.	Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD  Estimativa de hidrocarbonetos originalmente existentes no reservatório  Cálculo do Volume de Rocha  Prefixos  Volume Recuperável/Reservas  Sistemas em Camadas  Cálculo de Net to Gross  Cut-offs 4.6. Métodos de Cálculo de Volumétrico 3
O que é a reserva?	numericamente igual ao volume recuperável
Resuma: 4.6.2.	4.6.2. Estimativa de Volume Recuperável/Reservas  Estimativa de reserva: é conhecer a quantidade de fluído que pode ser retirado de um reservatório. Isso possibilitará decidir se o projecto será viável.  Na época da descoberta, como ainda nenhum fluido foi produzido, a reserva é numericamente igual ao volume recuperável.  𝑅𝑒𝑠𝑒𝑟𝑣𝑎𝑠 = 𝑁𝑅 = 𝑁 × 𝐹𝑅  Após o início da produção, Reservas são determinadas pela diferença do volume recuperável e da produção acumulada.  𝑅𝑒𝑠𝑒𝑟𝑣𝑎𝑠 = 𝑁𝑅 − 𝑁𝐴 Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD 4
O que são o volume recuperável ou reservas para gás e óleo?	expressa respectivamente:  𝐑𝐞𝐬𝐞𝐫𝐯𝐚𝐬 = 𝑽𝒓𝝓 𝟏 − 𝑺𝒘𝒊 𝟏 𝑩𝒈𝒊 − 𝟏 𝑩𝒈𝒂  Para estimar as reservas de óleo quando a saturação de óleo residual e os factores de volume de formação de óleo são conhecidos com algum grau de confidência no final da vida produtiva do reservatório
Resuma:  Conhecendo as condições iniciais e de abandono de reservatórios de gás, o volume recuperável ou reservas para gás e óleo são expressa respectivamente:  𝐑𝐞𝐬𝐞𝐫𝐯𝐚𝐬 = 𝑽𝒓𝝓 𝟏 − 𝑺𝒘𝒊 𝟏 𝑩𝒈𝒊 − 𝟏 𝑩𝒈𝒂  Para estimar as reservas de óleo quando a saturação de óleo residual e os factores de volume de formação de óleo são conhecidos com algum grau de confidência no final da vida produtiva do reservatório.	 Conhecendo as condições iniciais e de abandono de reservatórios de gás, o volume recuperável ou reservas para gás e óleo são expressa respectivamente:  𝐑𝐞𝐬𝐞𝐫𝐯𝐚𝐬 = 𝑽𝒓𝝓 𝟏 − 𝑺𝒘𝒊 𝟏 𝑩𝒈𝒊 − 𝟏 𝑩𝒈𝒂  Para estimar as reservas de óleo quando a saturação de óleo residual e os factores de volume de formação de óleo são conhecidos com algum grau de confidência no final da vida produtiva do reservatório. A recuperação final de petróleo e as reservas podem ser estimadas com base na seguinte equação:  𝑹𝒆𝒔𝒆𝒓𝒗𝒂𝒔 = 𝑽𝒓𝝓 𝟏 − 𝑺𝒘𝒊 𝑺𝒐𝒊 𝑩𝒐𝒊 − 𝑺𝒐𝒓 𝑩𝒐𝒓  onde Bga é o factor volume-formação de gás em condições de abandono e Bor factor volume-formação de óleo residual e Sor saturação de óleo residual. Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD 54.6.2. Estimativa de Volume Recuperável/Reservas
Resuma: Tipo de Reservas Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD 64.6.2.	Tipo de Reservas Engenharia de Reservatórios I Geraldo Ramos, BSc, MSc, PhD 64.6.2. Estimativa de Volume Recuperável/Reservas
O que são Reservas não provadas - estas reservas também?	baseadas nos mesmos dados usados para estimar as reservas provadas, mas que tecnicamente, contratualmente, economicamente ou por outras razões de incertezas impedem que tais reservas sejam classificadas como provadas
