Company Name,NIF,Status,Service,Niche,Type
"Atlantic Facilities Management - Prestação de Serviços em Edifícios Urbanos, S.A.",5401146442,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"BAXTTER CORPORATION, LDA",5417098914,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"BLACK N SHARE SOLUTIONS - PRESTAÇÃO DE SERVIÇOS, LDA",5001008943,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"BLUEFLOW NAVEGAÇÃO – PRESTAÇÃO DE SERVIÇOS, LDA",5000746088,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"BOS-BLACK OURO SERVICES, LDA",5417421138,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
C.A.C.P. -  CONSULTORIA. LDA,5000601918,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"CASS & SERVICE, LDA",5401105967,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"CENOTELF & FILHOS, LDA",5417253286,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
CENTRO DE FORMAÇÃO PROFISSIONAL PRATICAL CENTER - PRESTAÇÃO DE SERVIÇO LDA,5001164465,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
COMLIDERANÇA - COMUNICAÇÃO & IMAGEM LDA,548407521,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
CONSTRUCAP ENGENHARIA LIMITADA,5000035750,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"CONSULAM, LDA",5401151470,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"CONTINENTAL TECNO IA, LDA",5001263242,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Conexão Académica Treinamento e Capacitação Empresarial, Lda",5000205133,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Consaude-Medicina no Trabalho, Lda",5417227676,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Cybernex360 SU LDA,5001419501,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"D.J.B CONDE (SU), LDA",5417468789,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"DELOITTE CONSULTORES, LDA",5001189638,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"DRONESIG ANGOLA-PRESTAÇAO DE SERVIÇOS, LDA",5000438251,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
EDS-ENGENHARIA E TELECOMUNICAÇÕES,5402112177,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
EGAF GESTÃO ADMINISTRATIVA E FINANCEIRA,5419013053,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ELAH AZULAY - CONFEITARIA E CATERING, LDA.",5001227327,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ELECTROGESTÂO - Prestação de Serviços (SU) Lda.,5001156420,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ENCOM Lda.,5417227633,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ESG-EXECUTIVE SECURITY GLOBAL- COMERCIO E SERVIÇO, LDA",5000899070,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ETIC - SOLUCOES & TECNOLOGIA, LDA",5417257893,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"EVEREDGE ANGOLA, S.A",5417347426,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Easy People, Lda",5417103195,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Ekton Project Analytics - Prestação de Serviços, Lda",5000937738,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Engineering Management Company,Lda",5417052019,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"FCS MAR ENG - CONSUTORIA (SU), LDA",5001632566,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
FEERIE BUREAU - COMÉRCIO E PRESTAÇÃO DE SERVIÇOS LDA,5000740306,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Faustware Soluções e prestação de serviços lda,5000971901,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Fercaste Projectos e Empreendimentos, LDA",5401107307,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Fortress Petroleo e Gaz Lda,5001285424,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"FÉNIXX PETRÓLEO E GÁS, LDA",5000910368,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Fénixx-Petróleo & Gás, Lda",5480009621,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
G. BLANCO ANGOLA - COMERCIO GERAL E PRESTAÇÃO DE SERVIÇOS Lda,5001220705,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
GEODE-PRESTAÇÃO DE SERVIÇOS LDA,5000155284,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
GESPROV - GREEN ENERGY SERVICES PROVIDER  LDA,5000947814,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"GLOBAL AFM, S.A.",5417195774,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
GLOBAL TELESAT LDA,5402141312,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
GREENMIND ASSESSORIA E SERVIÇOS LDA,5417227218,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"GRUPO 3 COIMBRA, LDA",5161160349,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"GUIOMAR DA SILVA - COMERCIO GERAL, LDA",5484052513,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Ginux service,5000852600,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Gonga & Muabi Prestação de Servilos LDA,5001026208,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Growfast Angola, Limitada",5417347124,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Grupo Simples Oil, Lda",5401141351,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"H.S.O.G SERVICES, LDA",5000696587,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"HOO - PRESTAÇÃO DE SERVIÇOS, LDA",5417033383,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Horus Excellence - Empreendimentos - Prestação de Serviços, LDA",5000180572,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
IMANI D&D INVESTIMENTOS - COMÉRCIO GERAL E PRESTAÇÃO DE SERVIÇOS,5001932128,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"IMUVIP Construção Civil, S.A",5403097627,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"INVEST-A - CONSULTORIA E PRESTAÇÃO DE SERVIÇOS, LDA",5001480260,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Iperforma Angola - Arquitectura e Engenharia Lda.,5480027239,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"J. SUENE - Engenharia, Construção & Serviços LDA",5417525600,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"JIMA COMERCIO E PRESTAÇÃO DE SERVIÇOS., (SU) LDA",5000655767,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
JTA-KINKANDI,5000430102,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"LADMIRA C.CIVIL, COMERCIO INDUSTRIA E PRESTAÇÃO DE SERVIÇOS- LDA",5417136204,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"LAVA & LIMPA - PRESTAÇÃO DE SERVIÇOS, LDA",5000033286,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"LEGRIFIL-PRESTAÇÃO DE SERVIÇOS, LDA",5001682997,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Leanzon - Prestação de serviços, Lda",5000164747,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"M.B.(SU),LDA",5417328260,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"M.Link-Prestação de Serviços, Lda",5000949736,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"M2R - ENGENHARIA, LIMITADA",5417257494,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"MAIS GÁS (SU), LIMITADA",5403110003,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"MAJOBA, EDUCACIONAL E INDUSTRIAL, LIMITADA",5419016222,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
MANQUEZ COMERCIO E SERVIÇO,5000817082,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
MMSW,5417254606,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Maketec - Engenharia, Consultoria e Serviços, Lda",5417377554,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Maúno Capitão - Comercio Geral E Prestação de Serviços, Lda",5417657913,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"NAK-ENERGY OIL&GAS,LDA",54171450,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
NAVILOG S.A,5417502642,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"NGADA OIL COMPANY - PRESTAÇÃO DE SERVIÇOS, LDA",5001563033,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"NILMIGUEL BUSINESS SOLUTIONS,LDA",5118003440,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Nasadi Soluções (SU), Lda",5417254282,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Nova Variante de Serviços - Energy - Indústria, Lda",5000759651,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"O.C.LINES - LOGISTICA E COMÉRCIO GERAL, LIMITADA",5000261572,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"OCINYI SERVICES,LDA",5001490052,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"OIL FIELD CALCULATOR, LDA.",5417504149,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
OJD SERVICE,000854603CA030,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"OMEGA RISK SOLUTIONS-ANGOLA, Limitada",5401144725,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
OMNIVAS - COMERCIO E SERVIÇOS (SU) LDA,5000465020,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
OPENMAR- COMÉRCIO E SERVIÇOS LDA,5001117289,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ORCABESP-SERVICES & ENGINEERING, LDA",5001221922,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ORGANIZAÇÕES CHAYNNE – NEGÓCIOS E SOLUÇÕES Lda,5480005723,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ORGANIZAÇÕES V.N.M,000142960CA013,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"P.M. NEVES COMÉRCIO GERAL (SU), LDA",5000638579,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"PANGEA OFFSHORE - SERVIÇOS MARÍTIMOS E ENERGIA, LIMITADA",5000261580,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"PETROS EQUIPMENT LOGISTICS, LDA",5001396005,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"PI ADVISORY – CONSULTORIA, AUDITORIA E FISCALIDADE, LDA,",5001432842,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"PIONENE ENERGY AND SOLUTIONS - PRESTAÇÃO DE SERVIÇOS, LDA",5001606697,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"PONTO STAR, LDA",5000537314,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
PORTECOS Consultores de Engenharia,5417580600,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Pago Technical Group, LDA",5484011620,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Pareto Consulting,5417119199,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Progest - Projectos Técnicos, Consultoria e Gestão, Lda",5403084134,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Prominence Group LDA,5417406236,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Pérola Verde,5484082587,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
QONFIA LDA,5417002178,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"QUIFIRAES COMERCIAL, LDA",5000116114,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
SEA SERVIÇOS ESPECIALIZADOS DE GESTÃO DE RESÍDUOS LDA,5001336428,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"SHAL-SHORE ATLANTIK, LDA",5001070762,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"SICO PARTNER- PRESTAÇÃO DE SERVIÇOS, LDA",5000436526,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"SIKE-TEIA, LDA",5000174408,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"SIQ - Sociedade de Inspecção e Qualidade, Lda.",5417287342,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"SISTEC - Sistec Tecnologias e Indústria, SA",5410002547,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
SOAPRO SA,5403011382,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
SOLUNEV CONSULTORIA,5001656361,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
SOMOSCONTA - CONSULTORIA FISCAL LDA,5000664200,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
SONILS - SONANGOL INTEGRATED LOGISTIC SERVICES,5410002733,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"SOS Universal, LDA",5417084387,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"STAC - Academy - Prestação de Serviços, lda",5000771287,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"STATEMENT M&C - PRESTAÇÃO DE SERVIÇOS E CONSULTORIA DE GESTÃO, LDA.",5000533262,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
STONE ROUGE - COMERCIO E SERVICOS LDA,50001345478,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"STRATSIRIUS ANGOLA– PRESTAÇÃO DE SERVIÇOS, S.A.",5001218140,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"SURESIL - PRESTAÇÃO DE SERVIÇOS, LDA",5000900214,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Sdacademia-Sociedade Gestora de Estabelecimentos de Ensino, Lda",5000699489,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Solutions S&S - Comércio e Serviços, Lda",5001071947,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Starlight - Prospecção e Exploração, Lda.",5417583081,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"TAMBADIA - COMERCIO E SERVICOS, (SU), LIMITADA",000085817CA013,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"TCHIOWA BUSINESS CORPORATION, LDA",5000767212,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
TECPROENG - Técnica e Projectos de Engenharia Lda,5402112487,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"TRIPLE SEVEN PROCUREMENT-COMÉRCIO E SERVIÇOS, LDA",5000558915,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"TRUSTORA - CORRECTORA DE SEGUROS, LDA",5000953571,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Technical Integrated Services Lda,5001136801,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ULTIKARY-COMERCIO E INDUSTRIA LDA,5417239330,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Unistartech Tecnologia(SU), Lda",5000057290,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
VESCLEAN SERVICES,5001631446,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"VFUTI - PRESTAÇÃO DE SERVIÇOS, (SU), LDA",5001313967,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
VIDEVE - PRESTACAO DE SERVICOS (SU) LTD,5000158917,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Velasi Empreendimentos, Lda",5000538132,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Vulcano Investimentos - Prestação de Serviços, Lda",5417584991,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"VÉNUS ROBUSTA - IMOBILIÁRIA, GESTÃO DE EMPREENDIMENTOS E PRESTAÇÃO DE SERVIÇOS, LDA.",5000456594,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"W.I.S- WORK INTERNATIONAL SERVICE,LDA",5402135959,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"WELLSCOPE, LDA",5417302007,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"WORKSTART Prestação de Serviços, Lda",5417258237,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Zaieca(angola)Lda,5402131503,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
marcdani limitada,5111043489,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"valfrem prestação de serviços, Lda",5000611441,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"7SÁBIOS - PROJECTOS, FORMAÇÃO E SERVIÇOS, LDA",5417180947,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"ALGOA CABINDA FABRICATION SERVICES - SERVIÇOS PETROLÍFEROS, LIMITADA",5417030538,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"AMSOL – Prestaçao de Serviços, LDA",5000235318,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"AREIS - INVESTIMENTOS - COMERCIO E SERVICOS (SU), LDA",5001177451,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
ARIES ENERGY SOLUTIONS LDA,5000610160,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"Africa HR Angola, Lda",5417366714,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
Angostrat Lda,5417239798,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
Atlantic Logistic Services Limitada,5000621650,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"BDM - ENGENHARIA E TECNOLOGIA, LIMITADA",5402123608,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"BLOOM CONSULTORIA, LDA",5001455478,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
Bureau Veritas Angola Lda,5401134096,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"C&S - Assurance and Advisory, S.A",5000028550,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"CEGELEC-OIL AND GAS SERVICES, LIMITADA",5417117811,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
CHINA PETROLEUM PIPELINE ENGINEERING CO - Sucursal em Angola,5417221236,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"COBANGOLA-CONSULTORES DE ENGENHARIA, LDA",5417104159,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
CONNEX BLUETECH LDA,5001154052,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
Cimontubo Angola Lda,5417089974,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"DIDX-PRESTACAO DE SERVICOS, LDA",5000259705,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
DISEJIL - COMÉRCIO E SERVIÇOS LDA,5000228320,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
DORIS ENGENHARIA ANGOLA LDA,5417013021,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"Deloitte - Auditores, Lda.",5401022670,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
EDG PROJECTOS ANGOLA LDA,5401085320,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
"EES - Energy & Environment Services, Lda.",5000834165,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCDA
